address|text|type|size
0048f6c8|Missing IHDR before tRNS|string|25
0048f6e4|unknown critical chunk|string|23
0048f6fc|Extra compression data|string|23
0048f714|Decompression Error|string|20
0048feac|invalid bit length repeat|string|26
0048fec8|too many length or distance symbols|string|36
0048feec|invalid stored block lengths|string|29
0048ff0c|invalid block type|string|19
0048ff20|incompatible version|string|21
0048ff38|buffer error|string|13
0048ff48|insufficient memory|string|20
0048ff5c|data error|string|11
0048ff68|stream error|string|13
0048ff78|file error|string|11
0048ff84|stream end|string|11
0048ff9f|?invalid distance code|string|25
0048ffb8|invalid literal/length code|string|28
004901c8|incomplete dynamic bit lengths tree|string|36
004901ec|oversubscribed dynamic bit lengths tree|string|40
00490214|incomplete literal/length tree|string|31
00490234|oversubscribed literal/length tree|string|35
00490258|empty distance tree with lengths|string|33
0049027c|incomplete distance tree|string|25
00490298|oversubscribed distance tree|string|29
00490524|HH:mm:ss|string|9
00490530|dddd, MMMM dd, yyyy|string|20
00490544|MM/dd/yy|string|9
00490550|PM|string|3
00490554|AM|string|3
00490558|December|string|9
00490564|November|string|9
00490570|October|string|8
00490578|September|string|10
00490584|August|string|7
0049058c|July|string|5
00490594|June|string|5
0049059c|April|string|6
004905a4|March|string|6
004905ac|February|string|9
004905b8|January|string|8
004905c0|Dec|string|4
004905c4|Nov|string|4
004905c8|Oct|string|4
004905cc|Sep|string|4
004905d0|Aug|string|4
004905d4|Jul|string|4
004905d8|Jun|string|4
004905dc|May|string|4
004905e0|Apr|string|4
004905e4|Mar|string|4
004905e8|Feb|string|4
004905ec|Jan|string|4
004905f0|Saturday|string|9
004905fc|Friday|string|7
00490604|Thursday|string|9
00490610|Wednesday|string|10
0049061c|Tuesday|string|8
00490624|Monday|string|7
0049062c|Sunday|string|7
00490634|Sat|string|4
00490638|Fri|string|4
0049063c|Thu|string|4
00490640|Wed|string|4
00490644|Tue|string|4
00490648|Mon|string|4
0049064c|Sun|string|4
00490650|a/p|string|4
00490654|am/pm|string|6
00490700|CorExitProcess|string|15
00490710|mscoree.dll|string|12
0049079c|(null)|string|7
00490964|SunMonTueWedThuFriSat|string|24
0049097c|JanFebMarAprMayJunJulAugSepOctNovDec|string|40
